User ID,Number of days
124612,1446
124613,1448
124614,1468
124615,1540
124616,1554
124617,1567
124618,1572
124619,1574
124620,1587
124621,1612
124622,1620
124623,1627
124624,1628
124625,1696
124626,1702
124627,1722
124628,1724
124629,1736
124630,1784
124631,1795
124632,1817
124633,1822
124634,1841
124635,1843
124636,1851
124637,1895
124638,1917
124639,1936
124640,1952
124641,1961
124642,1980
124643,2125
124644,2145
124645,2232
124646,2341
124647,2366
124648,2430
124649,2455
124650,2596
124651,2597
124652,2684
124653,2688
124654,2693
124655,2696
124656,2708
124657,2808
124658,2838
124659,2844
124660,2854
124661,2970
124662,3216
